Sum of Adj R2,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,
,D1,,,,,D2,,,,,Level,,,,,LogD1,,,,,QoQ,,,,,Grand Total
Row Labels,L0,L1,L2,L3,L4,L0,L1,L2,L3,L4,L0,L1,L2,L3,L4,L0,L1,L2,L3,L4,L0,L1,L2,L3,L4,
Bankconc,-0.004802007,-0.019006369,0.006078094,-0.01028316,-0.016148811,-0.004213654,0.008041009,-0.014836718,0.017312523,-0.0176943,-0.014795243,-0.01835461,-0.015425735,-0.016960027,-0.0062653,-0.014285933,-0.01908629,0.010688459,-0.001892461,-0.005011337,-0.001544719,-0.014985552,-0.017182327,-0.020066858,-0.013523539,-0.224244865
CPIUK,-0.01713545,-0.018969479,-0.00670764,-0.016685823,-0.016872609,-0.016118009,-0.004828961,-0.017352642,-0.000560233,0.040373527,-0.017855416,-0.017938302,-0.011385656,-0.017005244,-0.013888913,-0.017340385,-0.01922987,-0.007572811,-0.015333686,-0.017837409,-0.018940815,-0.018345663,-0.011744704,-0.016213863,-0.021108238,-0.316598293
depositrate,-0.01867117,-0.013508169,-0.019504747,-0.019851771,0.014257566,-0.010873107,-0.011526293,-0.01953381,0.016121276,-0.004377508,-0.014851272,-0.014324916,-0.010334326,-0.015414091,-0.013424635,-0.022321976,-0.024461956,-0.007718478,-0.023530994,0.039568873,-0.019520668,-0.011335272,-0.012511102,-0.013879668,-0.018993877,-0.270522089
EMPUKQ,-0.017790181,-0.010379383,-0.014655994,-0.017638598,0.01410131,-0.011935767,-0.005389296,-0.011953642,0.01447869,0.050890904,-0.018345705,-0.018499056,-0.007466637,-0.017526188,-0.01205449,-0.017672232,-0.010188839,-0.01483424,-0.016973759,0.015225078,-0.019086477,-0.017481136,-0.020512296,-0.020080772,-0.021731968,-0.227500676
euroCreditGDP,-0.01827196,-0.011434241,-0.019591482,-0.018708571,-0.018967404,-0.013129048,-0.015323989,-0.019555086,-0.017659823,0.022979236,-0.017937815,-0.018111628,-0.008177701,-0.016623577,-0.013512813,-0.018279212,-0.013044324,-0.019482355,-0.018896655,-0.018984888,-0.019614012,-0.018920692,-0.011262327,-0.019816327,-0.015630618,-0.377957311
eurogdppercapita,0.103003274,0.041651388,0.009523971,0.089474043,0.204741674,0.098427967,0.037741968,0.056708726,0.176110446,0.147887205,-0.013468671,-0.012158443,-0.015891802,-0.014322445,-0.018006586,0.093726322,0.030745702,0.005698523,0.093377699,0.210079271,-0.019979887,-0.019927917,-0.012020538,-0.008892891,-0.012210136,1.252018861
euroLabourproductivity,-0.013286012,-0.016222234,-0.018042032,-0.019549316,-0.015499446,-0.019179184,-0.018731249,-0.016929951,-0.017242928,0.014429805,-0.018682663,-0.018867924,-0.014702538,-0.019607648,-0.018611618,-0.013363841,-0.016435351,-0.018279064,-0.019704271,-0.015289712,-0.01695278,-0.020347202,-0.008043493,-0.010384164,-0.011496407,-0.381021225
Eurooutputgap,-0.017703582,-0.017578455,-0.011171161,-0.013029924,-0.013546007,-0.002952006,-0.016779244,-0.019979876,-0.020284923,-0.017837882,-0.014743966,-0.01363145,-0.008826416,-0.016578276,-0.017472891,-0.06436312,-0.021437877,-0.059091007,0.15326979,-0.029103692,-0.017292366,-0.010763248,-0.012667939,-0.01298615,-0.017411184,-0.313962849
Europe.and.UK.Commercial.Banking,0.681684226,0.062445037,-0.018138863,-0.007508308,-0.005773812,0.500686695,0.0055097,-0.018086829,0.001127362,-0.003629542,0.140307126,0.134973195,0.010228527,-0.006428628,-0.019328589,1,0.17847347,-0.019585077,0.020613311,0.058953931,0.09466483,0.0382026,-0.011689613,0.029003673,-0.011976527,2.834727895
Europe.and.UK.Retail.Banking,-0.011614607,-0.004451556,0.079737337,0.012430313,-0.008770047,-0.018853879,0.045842304,0.063704462,-0.01856631,-0.020833203,0.003001147,-0.018072624,0.004232464,0.067458067,-0.018453588,0.051462984,-0.019222515,0.067226087,-0.002955602,0.070329978,-0.013571226,-0.011192497,-0.014826903,0.00776736,-0.019963579,0.27184437
euryield,0.03631104,-0.012933705,-0.012261892,-0.003089706,-0.008634648,0.057407065,-0.018703239,0.02846631,0.039041471,-0.01810804,-0.018617489,-0.013307999,-0.007349595,-0.016988657,-0.008453012,0.014850154,-0.012793435,-0.013816673,-0.022541113,0.021123587,-0.014278776,-0.017459877,-0.011807746,-0.009611959,-0.005569366,-0.0491273
FX,-0.018601034,-0.019195201,-0.002608663,-0.018626693,-0.013978407,-0.019188444,-0.003875445,-0.01146227,-0.01005718,-0.014213978,-0.012698378,-0.011737433,-0.018571535,-0.019212188,-0.019532857,-0.018676671,-0.019113957,-0.001324347,-0.019544697,-0.016020197,-0.015620773,-0.019308675,-0.01889934,-0.020955722,-0.020454123,-0.383478205
GBMT10UK,0.084165162,-0.018037159,0.012171105,-0.008412685,-0.019932905,0.055359316,-0.001655127,0.03823415,-0.013410072,-0.007922364,-0.018753522,-0.012746144,-0.004682815,-0.018229562,-0.011685533,0.039669423,-0.018286209,0.018566145,-0.015338681,-0.020362342,-0.010998,-0.019311209,-0.012744946,-0.011837422,-0.009476224,-0.005657619
longterminterest,0.051265623,-0.01914605,0.097181788,-0.019739804,-0.009827013,0.025466987,0.069233692,0.077454856,-0.007269902,-0.016310961,-0.01819267,-0.008583985,0.01079394,-0.018804158,-0.015319067,-0.003555366,-0.015252094,0.117488898,-0.019924053,-0.007194254,-0.018622024,0.012089782,0.019788216,-0.010266562,-0.015391331,0.257364489
marginallending,-0.011347789,-0.015239275,-0.019198667,-0.015448331,-0.01325092,0.005762139,-0.017958898,-0.017765606,-0.01987999,-0.018856055,-0.016501918,-0.014319022,-0.008624185,-0.014969379,-0.014551413,-0.015470075,-0.002962858,-0.017415556,-0.01695218,0.02679334,-0.019616846,-0.014290525,-0.010776792,-0.012970969,-0.017749369,-0.313561139
NGDPMPUKQ,-0.015409302,0.011482073,-0.019592591,-0.019702445,-0.019941647,0.018066456,0.002899108,-0.019844027,-0.020403008,-0.020455798,-0.018126132,-0.017914804,-0.009838384,-0.017900784,-0.014197581,-0.015728444,0.005771607,-0.01893507,-0.019870686,-0.017735097,-0.018606022,-0.017449551,-0.020605045,-0.016041211,-0.010678791,-0.330757176
refinacning.rate,-0.017083622,-0.015311367,-0.019537212,-0.018164778,0.000708671,-0.004892844,-0.013155335,-0.016620535,-0.003980645,-0.017899465,-0.015894771,-0.014674691,-0.009454943,-0.014802,-0.013707146,-0.016786526,-0.002725534,-0.015333244,0.008712105,0.016125257,-0.019708164,-0.013817488,-0.011968845,-0.012598934,-0.017849132,-0.280421185
RGDPMRPUKQ,-0.018845946,-0.018445505,-0.011516082,-0.011172257,-0.020217448,-0.018287448,-0.018841712,-0.019925065,-0.014007438,-0.020617873,-0.013035868,-0.013546684,-0.016314214,-0.019472511,-0.013211517,0.050439522,0.023021387,-0.023206505,-0.021272075,-0.015263235,-0.008623049,-0.005958099,-0.012918881,-0.017652173,-0.021699694,-0.300590369
SPPUKQ,0.026835219,-0.017922585,-0.009540524,-0.017268244,0.01135509,0.011112576,-0.015412156,-0.000448022,0.022278937,0.052948271,-0.008024822,-0.017556491,-0.016720728,-0.019606469,-0.01920316,0.032808924,-0.018892199,-0.009263644,-0.018574572,0.010953308,-0.00410442,-0.011055343,-0.019279352,-0.008945297,-0.016331115,-0.079856817
UKhouseindex,-0.014771589,-0.005215853,-0.012741623,-0.018922149,-0.011947933,0.00784647,0.017287674,-0.018471237,-0.018292354,0.032820105,-0.018365862,-0.018647768,-0.007596869,-0.017722341,-0.014442476,-0.0099091,0.006737743,-0.016277861,-0.019264059,-0.014788642,-0.01971554,-0.01873766,-0.020178616,-0.019875106,-0.021737633,-0.27293028
UnemplymentEURO,-0.018068976,-0.015859565,-0.014926177,-0.016507802,-0.011543516,0.006042353,-0.019513795,-0.019710954,-0.017418651,-0.017803561,-0.016412421,-0.015996029,-0.012525154,-0.017242112,-0.016941617,-0.018231581,-0.015813944,-0.015579454,-0.017188855,-0.009642897,-0.018136004,-0.013883914,-0.014292521,-0.016897422,-0.019481741,-0.383576307
Grand Total,0.749861317,-0.15327765,-0.025043055,-0.18840601,0.020311741,0.646554634,0.004860719,0.002092235,0.087437249,0.145768521,-0.161996329,-0.174016807,-0.1786343,-0.267958219,-0.312264803,1.016972867,-0.004197343,-0.058047273,-0.013785493,0.281918921,-0.219867736,-0.244279138,-0.266145109,-0.243202436,-0.340464592,0.10419191